timestamp,zone,demand_type,demand_mw
2025-01-01 00:00,punta_arenas_centro,electricity,28.629515625
2025-01-01 01:00,punta_arenas_centro,electricity,27.861515625
2025-01-01 02:00,punta_arenas_centro,electricity,26.104046875
2025-01-01 03:00,punta_arenas_centro,electricity,23.83128125
2025-01-01 04:00,punta_arenas_centro,electricity,21.9120625
2025-01-01 05:00,punta_arenas_centro,electricity,20.408828125
2025-01-01 06:00,punta_arenas_centro,electricity,18.348296875
2025-01-01 07:00,punta_arenas_centro,electricity,18.565390625
2025-01-01 08:00,punta_arenas_centro,electricity,18.607
2025-01-01 09:00,punta_arenas_centro,electricity,19.0760625
2025-01-01 10:00,punta_arenas_centro,electricity,20.253140625
2025-01-01 11:00,punta_arenas_centro,electricity,21.789375
2025-01-01 12:00,punta_arenas_centro,electricity,23.116953125
2025-01-01 13:00,punta_arenas_centro,electricity,23.374671875
2025-01-01 14:00,punta_arenas_centro,electricity,23.621875
2025-01-01 15:00,punta_arenas_centro,electricity,23.864171875
2025-01-01 16:00,punta_arenas_centro,electricity,23.296296875
2025-01-01 17:00,punta_arenas_centro,electricity,22.399921875
2025-01-01 18:00,punta_arenas_centro,electricity,22.42853125
2025-01-01 19:00,punta_arenas_centro,electricity,23.135875
2025-01-01 20:00,punta_arenas_centro,electricity,23.65721875
2025-01-01 21:00,punta_arenas_centro,electricity,25.131125
2025-01-01 22:00,punta_arenas_centro,electricity,28.0764375
2025-01-01 23:00,punta_arenas_centro,electricity,31.24388610839844
2025-01-02 00:00,punta_arenas_centro,electricity,29.08146228027344
2025-01-02 01:00,punta_arenas_centro,electricity,25.927666748046867
2025-01-02 02:00,punta_arenas_centro,electricity,23.56259619140625
2025-01-02 03:00,punta_arenas_centro,electricity,22.0883896484375
2025-01-02 04:00,punta_arenas_centro,electricity,20.5373603515625
2025-01-02 05:00,punta_arenas_centro,electricity,19.51739453125
2025-01-02 06:00,punta_arenas_centro,electricity,19.118904296875
2025-01-02 07:00,punta_arenas_centro,electricity,21.1115830078125
2025-01-02 08:00,punta_arenas_centro,electricity,25.3162646484375
2025-01-02 09:00,punta_arenas_centro,electricity,29.0630341796875
